책제목,글쓴이,출판사,출판년,대여료
하나님이 기도에 침묵하실 때,제럴드 L. 싯처 지음 ; 마영례 옮김,한국성서유니온선교회,2006,4632
"서울, 건축의 도시를 걷다. 2, 강남 일대와 부도심",임석재 지음,인물과사상사,2010,9895
"홀로코스트, 유럽 유대인의 파괴. 1",라울 힐베르크 저 ; 김학이 옮김,개마고원,2008,7469
가가린이 들려주는 무중력 이야기,정완상 지음,자음과모음,2005,4700
영어회화 꼭 성공하기 : 단 한명의 예외도 없는 검증된 성공 영어 학습법 누구나 3개월이면 영어회화 가능자가 된다,김태형 지음,b혜지원,2011,1367
개구쟁이 해리! 목욕은 정말 싫어요,G. 자이언 글 ; M. 그래엄 그림 ; 임정재 옮김,사파리,2011,4741
우리는 만난 적이 있다,조경란,문학과지성사,2001,5384
마법의 빨간 수레,레나타 리우스카 글·그림  ; 김혜진 옮김,천 개의 바람,2012,6192
나의 삼촌 브루스 리  : 천명관 장편소설. 1,천명관 지음,위즈덤하우스,2012,3938
아프리카여 안녕!,한스 아우구스토 레이 글.그림 ; 이선아 옮김,시공주니어,2008,3186
만화로 보는 그리스도인의 삶과 지혜,최병철 글·그림,제자마을,2012,6535
(연예계 소문난 술꾼)이훈의 뱃살빼기 대작전,이훈 지음,랜덤하우스,2009,8860
선재야 선재야,문윤정 글·사진,클리어마인드,2009,5687
합리성의 새로운 지평,존 써얼 지음 김기현 외 옮김,철학과 현실사,2001,9348
밤도깨비도쿄,딴지관광청 노매드 취재·사진·글,삼성출판사,2006,2527
안개 : 이정호 문학전집. 3,이정호 저,계간문예,2009,7873
(회사에서 바로 통하는)엑셀 함수 활용 사전,이형범,한빛미디어,2006,2494
북극곰도 모르는 북극 이야기,박지환 글 ; 김미경 그림,토토북,2008,9569
아프리카에서 온 암소 9마리,박종하 지음,다산북스,2007,9044
양철무,이산하,시공사,2003,1510
(세상에서 제일 큰)우리 아빠,조셉 브루채크 글 ; 웬디 앤더슨 핼퍼린 그림 ; 김영선 옮김,아이세움,2011,1085
"숲 어딘가 두평 마음의 집이 있다 : 주말캠핑 3년, 소심한 가족의 푸른 이력서",김종보 지음,황금시간,2011,9257
내 인생의 실험은 아직 끝나지 않았다 : 젊은 의학자가 그려 나가는 삶과 죽음의 얼굴들,안승철 지음,궁리출판,2012,9859
(베토벤이 들려주는) 두근두근 오케스트라,"만타누스, 마티유",책빛,2012,9707
우리고장 맛 이야기  :  전국 170개 지역 대표음식 스토리텔링,"문화체육관광부, 한국관광공사 [편]",한국관광공사,2009,6658
정글의 법칙,"히어슨, 칼",미래인,2012,2637
