책제목,글쓴이,출판사,출판년,대여료
빨간 머리 앤 : 논술대비 세계명작,"루시 모드, 몽고메리 원작, 황용희 엮음, 손민지 그림",지경사,2006,6822
친일 승려 108인,임혜봉 지음,청년사,2005,5808
(마녀에서 예술가로)오노 요코,클라우스 휘브너 지음 ; 장혜경 옮김,솔,2003,6955
일본을 보면 한국이 보인다,심훈 지음,한울,2012,1322
선생님 바꿔 주세요,브리지트 스마자 글 ; 원유미 그림 ; 이희정 옮김,밝은미래,2010,7816
Panasonic LUMIX G : 파나소닉 하이브리드 카메라 활용,변현우 ; 배호종 [공]지음,이지스퍼블리싱,2011,8585
웃음대장 할머니,시마다 요시치 지음 ; 홍성민 옮김,예원미디어,2011,6998
(선생님이 권해주는)교과서 소설. 중1,염남옥...[등]편,예스북,2012,2564
할아버지의 아주 특별한 여행,"코모토, 아구스틴",주니어파랑새,2006,4015
이상한 나라에서 온 스파이,최인석,창작과비평사,2003,8297
미드＆스크린 영어회화 패턴사전,이충훈 지음,Lancom,2012,9135
실학사상과 근대성,계명대학교 철학연구소 저,예문서원,1998,7202
부자 중국 가난한 중국인 : 중국인의 삶은 왜 여전히 고달픈가,랑셴핑 지음 ; 이지은 옮김,미래의창,2011,4106
비즈니스 영어 이메일 작성법,Iida Takeo 저,혜지원,2012,8374
아기가 된 아빠,"브라운, 앤서니",살림어린이,2011,9274
내 마음의 보석,최은지 지음,엠아이지,2003,5762
비타민 D,"공은희, 김선현, 김유빈, 염창환, 이준구, 이태호, 임성원, 임호섭, 정규철, 장현정, 최종순, 홍수진, 황희진",한솔의학서적,2009,9545
허경환의 맛있는 다이어트,허경환 저,영진미디어,2011,5742
피부는 무슨 일을 할까,폴 샤워스 글  ; 캐슬린 쿠체라 그림  ; 햇살과나무꾼 옮김,웅진,2005,5074
싱가포르 100배 즐기기 : 싱가포르 10개 지역·빈탄 섬·바탐 섬,허유리 지음,랜덤하우스,2011,2268
(맑고 향기로운 사람)법정 : 백금남 장편소설,백금남 지음,은행나무,2010,1506
이태준 박태원,최원식 외 엮음,창비,2005,4948
글자로만 생각하는사람 이미지로 창조하는사람,토머스 웨스트 지음  ; 김성훈 옮김,한국물가정보,2011,3644
내 성격은 내가 디자인한다,조성환 지음,부글books,2009,6158
한국 현대사 산책 : 2000년대 편 : 노무현 시대의 명암. 3권,강준만 저,인물과사상사,2011,1531
Arthur plays the blues,"Brown, Marc",Little Brown and company,2009,1602
Francine the superstar,"Brown, Marc",Little Brown and company,2009,8729
(한 권으로 보는)권모술수,이언호 편역,큰방,2002,3393
10미터만 더 뛰어봐！,김영식 지음,중앙Books,2008,4251
"(서울대 최종학 교수의)숫자로 경영하라= : 숫자경영, 최고의 경영 나침반이다!./ . 2:  = Managing by numbers:",최종학,원앤원북스,2012,9540
새빨간 사랑,슈카와 미나토 지음 ; 이규원 옮김,노블마인,2007,3988
"꼼짝 마 호진아, 나 애벌레야!",안은영,웅진주니어,2011,5628
"대런 섄. 제8권, 암흑의 샛길",대런 섄 지음 ; 안종설 옮김,문학수첩리틀북,2012,4196
바퀴 달린 라퐁텐 우화집,마리 앙주 기욤 글 ; 프랑수아 로카 그림 ; 김예령 옮김,비룡소,2010,4962
한국 근대사 산책. 2 : 개신교 입국에서 을미사변까지,강준만 지음,인물과사상사,2008,6875
그만해 우물쭈물 영어발음,Dr. Anna 지음,넥서스,2007,7544
쌈닭,이춘희 글 ; 강동훈 그림,언어세상,2004,4148
삶은 달걀과 삶은 콩,김선영 새로엮음 ; 김순영 그림,교원,2011,1624
이지 잉글리시 : grammar,조남욱,도서출판 be,2008,5693
노인과 바다,"헤밍웨이, 어니스트 밀러",삼성,2012,8808
어린이와 어린이 미술,앨 허위츠 ; 마이클 데이 [공]지음 ; 전성수 ; 박수자 ; 김정선 [공]옮김,예경,2006,1934
수중운동의 트레이닝 효과  :  선행연구 및 근력강화운동방법 소개,고재옥 지음,대경북스,2011,1112
위풍당당 : 성석제 장편소설,성석제 지음,문학동네,2012,2037
한번은 : 빔 벤더스의 사진 그리고 이야기들,빔 벤더스 지음 ; 이동준 옮김,이봄,2011,4143
어떻게 일에서 만족을 얻는가,배리 슈워츠  ; 케니스 샤프 [공]지음  ; 김선영 옮김,웅진씽크빅,2012,9155
평판 디스플레이 공학,이준신 김도영 공저,홍릉과학출판사,2005,4386
(미리 보는)초등 국어 교과서. 1학년,윤석중 외 글 ; 이은진 그림 ; 김임숙 엮음,고래가숨쉬는도서관,2011,5662
다이쇼 데모크라시,마쓰오 다카요시 지음  ; 오석철 옮김,소명,2011,8656
미학이론,T. W. 아도르노 저 ; 홍승용 역,문학과지성사,20051997,3546
개밥에 도토리,봉현주 글 ; 길고은이 그림,삼성당,2012,4651
문학과 미술,"Daniel Bergez 지음 ; 김모세, 임민지 [공]옮김",시와 진실,2011,7502
헨리 포드,베틀북 .편집부,베틀북,0,4819
선덕 여왕과 모란꽃,박은하 글  ; 이덕진 그림,을파소,2011,4416
프리미어 프로 CS3,이진훈 ; 박형민 ; 홍종남 저 ; 사람과사람 기획,성안당.com,2009,8275
쌍둥이 바꿔치기 대작전,앤드루 클레먼츠 글 ; 마크 엘리엇 그림 ; 이원경 옮김,비룡소,2010,9954
(마법천자문)고사성어  :고급편 .3,정춘수,아울북,2009,2001
이병주와 지리산,김윤식 지음,국학자료원,2010,6633
2001 신춘문예 당선소설 작품집,곽상희 외 지음,프레스21,2001,6161
피델 카스트로,리처드 플랫 글 ; 김석희 옮김,어린이작가정신,2005,5365
(여학생이면 꼭 배워야 할)힐러리 파워,데니스 에이브람스 저 ; 정경옥 역,명진출판,2010,6047
별,알퐁스 도데 지음 ; 김경림 옮김 ; 신혜원 그림,"느낌이있는책,:",2010,5840
나도 말 잘하는 남자가 되고 싶었다,데이비드 세다리스 지음  ; 조동섭 옮김,웅진씽크빅,2011,5463
(합격)취업한자,오형민 지음,정민미디어,2005,6224
"수정본-원자력의 유혹 : 핵무기, 원자력발전, 방사선 및 방사성동위원소",심기보,한솜미디어,2008,4794
여행에 미친 닥터부부. 2,이하성  ; 이형숙 [공]지음,예가,2012,7077
수중운동의 트레이닝 효과  :  선행연구 및 근력강화운동방법 소개,고재옥 지음,대경북스,2011,1112
(2007 올해의)문제소설,한국현대소설학회 엮음,푸른사상사,2007,9236
"서른, 법과 맞짱뜨다",한정우 지음,대림북스,2012,5783
내 당근 봤니?,함지슬 글 ; 임경희 그림,애플비,2011,7577
글로벌 파워 매너,서대원 지음,중앙북스,2008,6811
You Shall be King!,"Schneider, Antonie",North-South Books,1995,9261
옷감짜기,김경옥 글 ; 김형준 ; 정진희 [공]그림,보림,2005,5641
"공간의 현상학, 풍경 그리고 건축",이종관 지음,성균관대학교,2012,3475
한국의 기업 경영 20년  : 개방의 파고를 넘어 세계로,정구현 외 지음,삼성경제연구소,2008,2486
봄이 왔어요,"기냐, 찰스",키즈엠,2012,9448
스끼다시 내 인생,임정연 지음,문이당,2006,7500
소녀와 비밀의 부채. 2,리사 시 지음 ; 양선아 옮김,밀리언 하우스,2006,2065
만화로 보는 그리스도인의 삶과 지혜,최병철 글·그림,제자마을,2012,6535
(세계체계 분석으로 본 자본주의의 기원과 미래)자본주의 역사 강의,백승욱 지음,그린비,2006,9877
(오늘은 이렇게)행복하세요,조명연 지음,휴먼드림,2011,4817
"성서이야기. 1 : 구약편, 상",이누카이 미치코 지음 ; 이원두 옮김,한길사,2006,8220
"나, 건축가 안도 다다오 : 한줄기 희망의 빛으로 세상을 지어라",안도 다다오 지음 ; 이규원 옮김,안그라픽스,2010,4182
달에서 온 편지,조규찬 글·그림,이른아침,2009,7796
공무도하,김훈 지음,문학동네,2009,8761
모티베이터 : 동기를 부여하는 사람,조서환 지음,위즈덤하우스,2012,3240
우주 유영,프랭클린 브랜리 글  ; 트루 켈리 그림  ; 햇살과나무꾼 옮김,웅진,2005,1649
한국 단편소설 베스트 100. 2,방민호 책임집필,미래엔,2011,9008
박수근 평전  : 시대공감,최열 지음,마로니에북스,2011,6991
크게 외쳐!,박현숙,살림,2011,2493
"한국행정인은 누구인가? : 삶의질,인간형,행정문화,모범사례",조무성 지음,고려대학교출판부,2002,4604
원형과 신화,이유경 지음,이끌리오,2006,3878
EXPRESSIONISTS,제니스 앤더슨저 ; 최기득 역,한국프뢰벨주식회사,1998,7591
